apyg	apyl	apyg_nr	apyl_nr	apgapl_abbrev	apygapyl_hash
Naujamiesčio	Gedimino	1	2	Naujamiesčio(1)-Gedimino(2)	ecbbc20b
Naujamiesčio	Pamėnkalnio	1	8	Naujamiesčio(1)-Pamėnkalnio(8)	c1844d2a
Naujamiesčio	Taurakalnio	1	10	Naujamiesčio(1)-Taurakalnio(10)	3f60bae9
Naujamiesčio	Konarskio	1	12	Naujamiesčio(1)-Konarskio(12)	894ad7f0
Naujamiesčio	Mindaugo	1	13	Naujamiesčio(1)-Mindaugo(13)	31139109
Naujamiesčio	Vytenio	1	15	Naujamiesčio(1)-Vytenio(15)	86e292dd
Naujamiesčio	Žemaitės	1	16	Naujamiesčio(1)-Žemaitės(16)	ef68b07b
Naujamiesčio	Algirdo	1	17	Naujamiesčio(1)-Algirdo(17)	35bc1937
Senamiesčio	Saltoniškių	2	3	Senamiesčio(2)-Saltoniškių(3)	976c0273
Senamiesčio	Sėlių	2	4	Senamiesčio(2)-Sėlių(4)	0431f386
Senamiesčio	Vytauto	2	6	Senamiesčio(2)-Vytauto(6)	236268c2
Senamiesčio	Birutės	2	7	Senamiesčio(2)-Birutės(7)	4f549c69
Senamiesčio	Dailės	2	51	Senamiesčio(2)-Dailės(51)	1d866902
Senamiesčio	Užupio	2	52	Senamiesčio(2)-Užupio(52)	93585f96
Senamiesčio	Juozapavičiaus	2	54	Senamiesčio(2)-Juozapavičiaus(54)	19564e41
Senamiesčio	Licėjaus	2	56	Senamiesčio(2)-Licėjaus(56)	235265fc
Senamiesčio	Senvagės	2	57	Senamiesčio(2)-Senvagės(57)	6dfa6f74
Senamiesčio	Konstitucijos	2	59	Senamiesčio(2)-Konstitucijos(59)	739272a6
Senamiesčio	Senamiesčio	2	60	Senamiesčio(2)-Senamiesčio(60)	534547e6
Senamiesčio	Naugarduko	2	62	Senamiesčio(2)-Naugarduko(62)	76b8a7e4
Senamiesčio	Vienuolio	2	65	Senamiesčio(2)-Vienuolio(65)	de60ed97
Senamiesčio	Daukšos	2	66	Senamiesčio(2)-Daukšos(66)	a92b2ae2
Senamiesčio	Šopeno	2	67	Senamiesčio(2)-Šopeno(67)	1e48bb64
Antakalnio	Olandų	3	102	Antakalnio(3)-Olandų(102)	8f3aaeab
Antakalnio	Sapiegos	3	104	Antakalnio(3)-Sapiegos(104)	6260a68c
Antakalnio	Šilo	3	105	Antakalnio(3)-Šilo(105)	4e96c5b1
Antakalnio	Antakalnio	3	107	Antakalnio(3)-Antakalnio(107)	797fc022
Antakalnio	Švyturio	3	109	Antakalnio(3)-Švyturio(109)	b2e0137c
Antakalnio	Sruogos	3	111	Antakalnio(3)-Sruogos(111)	c630e15d
