b1	b2	b3	b4	b5	partija	apylinkė
1	-	-	-	-	DrąsosKelias	Kėdainių(43)-Parko(29)
1	-	-	-	-	DrąsosKelias	Nemenčinės(55)-Dūkštų(13)
1	-	-	-	-	DrąsosKelias	Medininkų(57)-Bezdonių(7)
1	-	-	-	-	LaisvSąjung	Tauragės(34)-Kęsčių(12)
1	-	-	-	-	LaisvSąjung	Kaišiadorių(59)-Paparčių(25)
1	-	-	-	-	LenkųAkcija	Kuršo(37)-Budrių(32)
1	-	-	-	-	LenkųAkcija	Biržų(48)-Juostaviečių(18)
1	-	-	-	-	LenkųAkcija	Molėtų(54)-Širvintų(19)
1	-	-	-	-	LenkųAkcija	Trakų(58)-Beižionių(7)
1	-	-	-	-	LenkųAkcija	Varėnos(70)-Krūminių(10)
1	-	-	-	-	LiaudiesP	Diplomatinė-Ispanija(1701)
1	-	-	-	-	LiaudiesP	Kelmės(41)-Dirvonėnų(38)
1	-	-	-	-	LTSąrašas	Diplomatinė-Kinija(26)
1	-	-	-	-	LTSąrašas	Akmenės(39)-Balėnų(18)
1	-	-	-	-	LTSąrašas	Jonavos(60)-Kuigalių(21)
1	-	-	-	-	LTSąrašas	Sūduvos(63)-Plutiškių(10)
1	-	-	-	-	Tautininkai	Šilutės(32)-Pašyšių(14)
1	-	-	-	-	Tautininkai	Pasvalio(47)-Medikonių(21)
1	-	-	-	-	Tautininkai	Sėlos(50)-Suvainiškio(35)
1	-	-	-	-	Tautininkai	Nalšios(53)-Milkuškų(10)
1	-	-	-	-	Tautininkai	Šalčininkų(56)-Purvėnų(16)
1	-	-	-	-	Tautininkai	Trakų(58)-Ausieniškių(5)
1	-	-	-	-	ValstŽal	Šalčininkų(56)-Tausiūnų(37)
1	-	-	-	-	ŽaliųjųP	Pietų(33)-Giliogirio(2)
1	-	-	-	-	ŽaliųjųP	Kuršėnų(45)-Sauginių(36)
1	-	-	-	-	ŽaliųjųP	Molėtų(54)-Miežonių(13)
2	-	-	-	-	DrąsosKelias	Mažeikių(38)-Leckavos(21)
2	-	-	-	-	LenkųAkcija	Zanavykų(64)-Ežerėlio(40)
2	-	-	-	-	LiaudiesP	Sėlos(50)-Adomynės(1)
2	-	-	-	-	LiaudiesP	Jurbarko(62)-Stakių(24)
2	-	-	-	-	LTSąrašas	Šilutės(32)-Usėnų(29)
2	-	-	-	-	LTSąrašas	Kuršo(37)-Kumpikų(11)
2	-	-	-	-	LTSąrašas	Akmenės(39)-Krakių(31)
2	-	-	-	-	LTSąrašas	Žiemgalos(46)-Maželių(30)
2	-	-	-	-	LTSąrašas	Nalšios(53)-Magūnų(22)
2	-	-	-	-	LTSąrašas	Prienų(67)-Purvininkų(30)
2	-	-	-	-	Krivick	Šalčininkų(56)-Tabariškių(27)
1	2	-	-	-	LTSąrašas	Pietų(33)-Bikavėnų(30)
1	2	-	-	-	LTSąrašas	Telšių(40)-Pavandenės(27)
1	2	-	-	-	LTSąrašas	Žiemgalos(46)-Sosdvario(34)
1	2	-	-	-	LTSąrašas	Nemenčinės(55)-Geisiškių(14)
1	2	-	-	-	LTSąrašas	Kaišiadorių(59)-Ringailių(9)
1	2	-	-	-	LTSąrašas	Jurbarko(62)-Lybiškių(8)
1	2	-	-	-	LTSąrašas	Sūduvos(63)-Daugirdų(27)
1	2	-	-	-	LTSąrašas	Dzūkijos(69)-Vanagėlių(31)
1	2	-	-	-	ŽaliųjųP	Gargždų(31)-Tilvikų(14)
3	-	-	-	-	LaisvSąjung	Akmenės(39)-Lūšės(34)
3	-	-	-	-	LaisvSąjung	Biržų(48)-Jasiuliškių(28)
3	-	-	-	-	LenkųAkcija	Raudondvario(65)-Mokyklos(50)
4	-	-	-	-	LiaudiesP	Lazdijų(71)-Ratnyčios(7)
4	-	-	-	-	Tautininkai	Žiemgalos(46)-Meškuičių(16)
4	-	-	-	-	Tautininkai	Sėlos(50)-Laičių(10)
4	-	-	-	-	Tautininkai	Visagino(52)-Atžalyno(6)
1	4	-	-	-	ŽaliųjųP	Diplomatinė-Izraelis(19)
5	-	-	-	-	DrąsosKelias	Biržų(48)-Aušros(3)
5	-	-	-	-	DrąsosKelias	Biržų(48)-Saulės(4)
5	-	-	-	-	LenkųAkcija	Molėtų(54)-Juodiškių(3)
5	-	-	-	-	LiaudiesP	Žiemgalos(46)-Darginių(6)
5	-	-	-	-	LTSąrašas	Kėdainių(43)-Beinaičių(5)
5	-	-	-	-	TvarkTeis	Varėnos(70)-Nedzingės(29)
1	2	3	-	-	LTSąrašas	Nalšios(53)-Sarių(27)
1	2	3	-	-	ŽaliųjųP	Varėnos(70)-Gudakiemio(13)
1	5	-	-	-	ŽaliųjųP	Sėlos(50)-Konstantinavos(12)
6	-	-	-	-	LenkųAkcija	Sūduvos(63)-Daukšių(28)
6	-	-	-	-	LiaudiesP	Sėlos(50)-Aleksandravėlės(31)
6	-	-	-	-	Tautininkai	Šalčininkų(56)-Jurgelionių(32)
6	-	-	-	-	ŽaliųjųP	Pasvalio(47)-Laipuškių(14)
1	2	4	-	-	ŽaliųjųP	Plungės(35)-Gintališkės(14)
7	-	-	-	-	LiaudiesP	Plungės(35)-Aleksandravo(8)
1	2	5	-	-	LenkųAkcija	Ukmergės(61)-Nuotekų(27)
1	2	5	-	-	ŽaliųjųP	Nalšios(53)-Bernotų(2)
1	7	-	-	-	LiaudiesP	Pietų(33)-Jucaičių(12)
2	6	-	-	-	ŽaliųjųP	Anykščių(49)-Šilų(27)
8	-	-	-	-	DarboPartija	Diplomatinė-Vengrija(43)
8	-	-	-	-	DrąsosKelias	Kuršėnų(45)-Gergždelių(32)
8	-	-	-	-	LaisvSąjung	Diplomatinė-Graikija(15)
8	-	-	-	-	SocDemai	Diplomatinė-Moldova(29)
1	2	6	-	-	LiaudiesP	Žiemgalos(46)-Bardiškių(2)
1	3	5	-	-	Tautininkai	Radviliškio(44)-Butėnų(6)
9	-	-	-	-	DrąsosKelias	Justiniškių(7)-Biržiškos(304)
9	-	-	-	-	DrąsosKelias	Raseinių(42)-Skirmantiškės(31)
9	-	-	-	-	DrąsosKelias	Ukmergės(61)-Petronių(16)
9	-	-	-	-	DrąsosKelias	Dzūkijos(69)-Papėčių(13)
9	-	-	-	-	DrąsosKelias	Dzūkijos(69)-Butrimonių(30)
1	2	3	4	-	LiaudiesP	Kelmės(41)-Gailių(4)
1	2	3	4	-	LTSąrašas	Kelmės(41)-Karklėnų(8)
1	2	3	4	-	Krivick	Diplomatinė-Turkija(40)
10	-	-	-	-	DrąsosKelias	Mažeikių(38)-Kęstučio(3)
10	-	-	-	-	DrąsosKelias	Jurbarko(62)-Vydūno(29)
10	-	-	-	-	LiaudiesP	Anykščių(49)-Piktagalio(5)
10	-	-	-	-	LiaudiesP	Anykščių(49)-Vadoklių(38)
10	-	-	-	-	LiaudiesP	Zanavykų(64)-Gotlybiškių(31)
10	-	-	-	-	LiaudiesP	Dzūkijos(69)-Ąžuolinių(20)
10	-	-	-	-	TvarkTeis	Vilkaviškio(68)-Opšrūtų(29)
3	7	-	-	-	DrąsosKelias	Kaišiadorių(59)-Darsūniškio(8)
3	7	-	-	-	LaisvSąjung	Sūduvos(63)-Jankų(14)
1	10	-	-	-	LiaudiesP	Raseinių(42)-Požėčių(24)
1	2	3	5	-	DrąsosKelias	Naujamiesčio(1)-Algirdo(17)
1	2	3	5	-	DrąsosKelias	Šeškinės(6)-Paberžės(261)
1	2	3	5	-	DrąsosKelias	Karoliniškių(8)-Kanto(313)
1	2	3	5	-	DrąsosKelias	Panerių(11)-Kirtimų(460)
1	2	3	5	-	DrąsosKelias	Tauragės(34)-Eidintų(29)
1	2	3	5	-	DrąsosKelias	Plungės(35)-Prūsalių(37)
1	2	3	5	-	DrąsosKelias	Kuršo(37)-Kūlupėnų(29)
1	2	3	5	-	DrąsosKelias	Anykščių(49)-Janušavos(14)
1	2	3	5	-	DrąsosKelias	Sėlos(50)-Adomynės(1)
1	2	3	5	-	DrąsosKelias	Nalšios(53)-Taujūnų(25)
1	2	3	5	-	DrąsosKelias	Nemenčinės(55)-Riešės(2)
1	2	3	5	-	DrąsosKelias	Nemenčinės(55)-Kreivalaužių(54)
1	2	3	5	-	DrąsosKelias	Ukmergės(61)-Balelių(19)
1	2	3	5	-	DrąsosKelias	Sūduvos(63)-Šunskų(17)
1	2	8	-	-	ŽaliųjųP	Kelmės(41)-Pašiaušės(25)
11	-	-	-	-	DrąsosKelias	Panerių(11)-Gimnazijos(459)
11	-	-	-	-	LenkųAkcija	Nevėžio(26)-Geležinkelio(1)
11	-	-	-	-	LenkųAkcija	Aukštaitijos(28)-Krekenavos(9)
11	-	-	-	-	LenkųAkcija	Radviliškio(44)-Vadaktų(39)
11	-	-	-	-	LenkųAkcija	Utenos(51)-Basanavičiaus(7)
5	6	-	-	-	ŽaliųjųP	Visagino(52)-Baibių(4)
12	-	-	-	-	LaisvSąjung	Utenos(51)-Biliakiemio(23)
12	-	-	-	-	LiaudiesP	Nalšios(53)-Zadvarninkų(9)
12	-	-	-	-	ŽaliųjųP	Raseinių(42)-Lyduvėnų(34)
1	2	3	7	-	DrąsosKelias	Biržų(48)-Aukštupėnų(4)
1	3	4	5	-	ŽaliųjųP	Žiemgalos(46)-Darginių(6)
13	-	-	-	-	LaisvSąjung	Jurbarko(62)-Rutkiškių(10)
13	-	-	-	-	LaisvSąjung	Sūduvos(63)-Varnupių(36)
13	-	-	-	-	LiaudiesP	Varėnos(70)-Sarapiniškių(31)
13	-	-	-	-	LTSąrašas	Kėdainių(43)-Keleriškių(12)
13	-	-	-	-	LTSąrašas	Sėlos(50)-Žiobiškio(10)
2	11	-	-	-	LTSąrašas	Plungės(35)-Stanelių(30)
2	11	-	-	-	LTSąrašas	Varėnos(70)-Karapolio(16)
1	2	11	-	-	LTSąrašas	Diplomatinė-Armėnija(3)
14	-	-	-	-	Tautininkai	Zanavykų(64)-Patašinės(12)
2	3	4	5	-	DarboPartija	Jurbarko(62)-Armeniškių(18)
2	3	9	-	-	DrąsosKelias	Verkių(12)-Visorių(23)
1	14	-	-	-	LenkųAkcija	Žiemgalos(46)-Livonijos(2)
1	2	3	4	5	LaisvSąjung	Radviliškio(44)-Skėmių(32)
1	2	3	4	5	LaisvSąjung	Sūduvos(63)-Plutiškių(10)
1	2	3	4	5	LaisvSąjung	Vilkaviškio(68)-Gižų(13)
1	2	3	4	5	LaisvSąjung	Lazdijų(71)-Lipliūnų(13)
1	2	3	4	5	LenkųAkcija	Alytaus(30)-Amatų(1)
1	2	3	4	5	LenkųAkcija	Plungės(35)-Mačernio(5)
1	2	3	4	5	LenkųAkcija	Kuršo(37)-Laivių(17)
1	2	3	4	5	LenkųAkcija	Žiemgalos(46)-Skaistgirio(22)
1	2	3	4	5	LenkųAkcija	Sėlos(50)-Stoties(41)
1	2	3	4	5	LenkųAkcija	Prienų(67)-Šilavoto(11)
1	2	3	4	5	LiaudiesP	Diplomatinė-Šveicarija(39)
1	2	3	4	5	LiaudiesP	Kuršo(37)-Vižančių(11)
1	2	3	4	5	LiaudiesP	Akmenės(39)-Žemalės(14)
1	2	3	4	5	LiaudiesP	Kelmės(41)-Karklėnų(8)
1	2	3	4	5	LiaudiesP	Raseinių(42)-Katauskių(35)
1	2	3	4	5	LiaudiesP	Biržų(48)-Lukonių(11)
1	2	3	4	5	LiaudiesP	Utenos(51)-Antalgės(15)
1	2	3	4	5	LiaudiesP	Visagino(52)-Biržūnų(8)
1	2	3	4	5	LiaudiesP	Šalčininkų(56)-Čiužiakampio(9)
1	2	3	4	5	LiaudiesP	Ukmergės(61)-Laumėnų(38)
1	2	3	4	5	LiaudiesP	Jurbarko(62)-Eržvilko(6)
1	2	3	4	5	LiaudiesP	Jurbarko(62)-Šimkaičių(14)
1	2	3	4	5	LiaudiesP	Zanavykų(64)-Veršių(27)
1	2	3	4	5	LTSąrašas	Gargždų(31)-Tilvikų(14)
1	2	3	4	5	LTSąrašas	Pietų(33)-Balsių(2)
1	2	3	4	5	LTSąrašas	Plungės(35)-Gegrėnų(12)
1	2	3	4	5	LTSąrašas	Plungės(35)-Grumblių(16)
1	2	3	4	5	LTSąrašas	Kuršo(37)-Pašilės(12)
1	2	3	4	5	LTSąrašas	Kuršo(37)-Piliakalnio(15)
1	2	3	4	5	LTSąrašas	Radviliškio(44)-Grinkiškio(10)
1	2	3	4	5	LTSąrašas	Biržų(48)-Ančiškių(27)
1	2	3	4	5	LTSąrašas	Sėlos(50)-Juodupės(16)
1	2	3	4	5	LTSąrašas	Sėlos(50)-Duokiškio(24)
1	2	3	4	5	LTSąrašas	Nalšios(53)-Rimšės(20)
1	2	3	4	5	LTSąrašas	Šalčininkų(56)-Gerviškių(6)
1	2	3	4	5	LTSąrašas	Medininkų(57)-Savičiūnų(43)
1	2	3	4	5	LTSąrašas	Sūduvos(63)-Šventragio(25)
1	2	3	4	5	LTSąrašas	Zanavykų(64)-Paluobių(13)
1	2	3	4	5	LTSąrašas	Raudondvario(65)-Liučiūnų(8)
1	2	3	4	5	LTSąrašas	Vilkaviškio(68)-Keturvalakių(16)
1	2	3	4	5	LTSąrašas	Varėnos(70)-Vaickūniškių(24)
1	2	3	4	5	LTSąrašas	Lazdijų(71)-Krikštonių(9)
1	2	3	4	5	Krivick	Nalšios(53)-Grybėnų(8)
1	2	3	4	5	Krivick	Šalčininkų(56)-Pabarės(18)
1	2	3	4	5	Tautininkai	Pajūrio(22)-Smėlio(2)
