# Duomenys: vrk.lt 2016 Spalio 12, 07:00
# Atlikta: 2016 Spalio 12, jonasB
# Skaičiavimams naudotos tik partijos su 130+ kandidatų (mažesnėms partijoms reikalingas sudėtingesnis normalizavimas)
# Skaičiavimams naudojami tik pirmumo balsai (daugiamandatės) iš visų apylinkių ir LT diplomatinių atstovybių
# Kandidato gautų pirmumo balsų skaičius normalizuotas pagal partijos gautų balsų skaičių ir partijos kandidatų skaičių
# Kandidato išskirtinis populiarumas apibrėžiamas kaip 2 standartiniai nuokrypiai (SD) nuo gautų balsų medianos palyginamoje kandidatų grupėje (kandidatai su panašiu priešrinkiminiu sąrašo numeriu)
#
# post_rank - kandidato numeris sąraše po rinkimų pirmo turo
# pre_rank - kandidato numeris sąraše prieš rinkimų pirmą turą
# votes - kandidato surinkti pirmumo balsai
# votes_norm - kandidato surinkti pirmumo balsai normalizuoti partijos dydzhiui ir sekmingumui
# votes_thr - slenkstis kuri turi perzhengti konkretus kandidatas, kad butu skelbtinas "netiketai sekmingu"
#
# see the text file with more detailed exlanations:
# "metodika_ypatingam_kandidatu_palaikymui_aptikti.txt"
# @ https://github.com/jonas-bac/POLITICO_LT/tree/master/2016_seimo_rinkimai
partija	abbrv	vardas	vardas_partija	pre_rank	post_rank	votes	votes_norm	votes_thr
DarboPartija	DP	JANINA GREICIŪNAITĖ	JANINA GREICIŪNAITĖ (DP)	141	16	1653	1428.30022554001	1384.22254969521
DarboPartija	DP	ROMAS ZIBALAS	ROMAS ZIBALAS (DP)	140	19	1466	1266.71998223935	1234.28462525406
DarboPartija	DP	ŠARŪNAS BIRUTIS	ŠARŪNAS BIRUTIS (DP)	100	25	1097	947.879822999026	442.270614778017
DarboPartija	DP	OLGA GORŠKOVA	OLGA GORŠKOVA (DP)	101	35	751	648.913169619206	433.213256396474
DarboPartija	DP	ARTŪRAS MILAŠAUSKAS	ARTŪRAS MILAŠAUSKAS (DP)	88	36	743	642.000645841638	403.650427365661
DarboPartija	DP	DARIUS VARNAS	DARIUS VARNAS (DP)	91	39	601	519.303348789804	400.411330275792
DarboPartija	DP	RASA ŠEBELSKIENĖ	RASA ŠEBELSKIENĖ (DP)	89	37	646	558.186295038624	396.558250266552
DarboPartija	DP	EDVINAS KRIŠČIŪNAS	EDVINAS KRIŠČIŪNAS (DP)	119	57	359	310.199504518369	253.2006613721
Konservatoriai	TS-LKD	INGRIDA ŠIMONYTĖ	INGRIDA ŠIMONYTĖ (TS-LKD)	4	2	117476	13245.7021599979	10864.1820085529
Konservatoriai	TS-LKD	ŽYGIMANTAS PAVILIONIS	ŽYGIMANTAS PAVILIONIS (TS-LKD)	18	7	26774	3018.83303510321	2467.62428906084
Konservatoriai	TS-LKD	TADAS LANGAITIS	TADAS LANGAITIS (TS-LKD)	29	12	17176	1936.63540042327	1396.26207129224
Konservatoriai	TS-LKD	MYKOLAS MAJAUSKAS	MYKOLAS MAJAUSKAS (TS-LKD)	36	11	17221	1941.70925888968	1146.15869462497
