lokacijos_fragmentas	apyl	apyg	apygapyl_hash	apyg_nr	apyl_nr	apgapl_abbrev
Ambasada Airijoje	Airija	Diplomatinė	6e499d76	0	1	Diplomatinė-Airija(1)
Armėnijos Respublikoje	Armėnija	Diplomatinė	3f81f1d2	0	3	Diplomatinė-Armėnija(3)
Austrijos Respublikoje	Austrija	Diplomatinė	fc989c38	0	5	Diplomatinė-Austrija(5)
Azerbaidžano Respublikoje	Azerbaidžanas	Diplomatinė	8c32f5ab	0	6	Diplomatinė-Azerbaidžanas(6)
Ambasada Belgijos	Belgija	Diplomatinė	359ce84f	0	8	Diplomatinė-Belgija(8)
Ambasada Čekijos	Čekija	Diplomatinė	09aa6a6e	0	11	Diplomatinė-Čekija(11)
Ambasada Danijos	Danija	Diplomatinė	f8b5a921	0	12	Diplomatinė-Danija(12)
Ambasada Egipto	Egiptas	Diplomatinė	4d871a3a	0	13	Diplomatinė-Egiptas(13)
Ambasada Estijos	Estija	Diplomatinė	da659fe2	0	14	Diplomatinė-Estija(14)
Ambasada Graikijos	Graikija	Diplomatinė	3ddbf802	0	15	Diplomatinė-Graikija(15)
Ambasada Gruzijoje	Gruzija	Diplomatinė	8107ac09	0	16	Diplomatinė-Gruzija(16)
Ambasada Italijos	Italija	Diplomatinė	5bfe9693	0	18	Diplomatinė-Italija(18)
Ambasada Izraelio	Izraelis	Diplomatinė	e1d3a82f	0	19	Diplomatinė-Izraelis(19)
Ambasada Japonijoje	Japonija	Diplomatinė	d1de8fc7	0	20	Diplomatinė-Japonija(20)
Ambasada Kazachstano	Kazachstanas	Diplomatinė	72e226ca	0	24	Diplomatinė-Kazachstanas(24)
konsulatas Almatoje	Kazachstanas-Almata	Diplomatinė	05116bdf	0	25	Diplomatinė-Kazachstanas-Almata(25)
Ambasada Kinijos	Kinija	Diplomatinė	9163afb7	0	26	Diplomatinė-Kinija(26)
Ambasada Latvijos	Latvija	Diplomatinė	1f5c6e1e	0	27	Diplomatinė-Latvija(27)
Ambasada Moldovos	Moldova	Diplomatinė	7de5d118	0	29	Diplomatinė-Moldova(29)
Ambasada Nyderlandų	Olandija	Diplomatinė	3bde34c7	0	30	Diplomatinė-Olandija(30)
Ambasada Norvegijos	Norvegija	Diplomatinė	d558560b	0	31	Diplomatinė-Norvegija(31)
Ambasada Prancūzijos	Prancūzija	Diplomatinė	a1929001	0	33	Diplomatinė-Prancūzija(33)
Ambasada Rumunijoje	Rumunija	Diplomatinė	9ad9cc16	0	34	Diplomatinė-Rumunija(34)
Ambasada Suomijos	Suomija	Diplomatinė	b899e6d8	0	37	Diplomatinė-Suomija(37)
Ambasada Švedijos	Švedija	Diplomatinė	2873793e	0	38	Diplomatinė-Švedija(38)
Ambasada Šveicarijos	Šveicarija	Diplomatinė	b6ce1faf	0	39	Diplomatinė-Šveicarija(39)
Ambasada Turkijos	Turkija	Diplomatinė	b5de3a79	0	40	Diplomatinė-Turkija(40)
Ambasada Ukrainoje	Ukraina	Diplomatinė	3bf094eb	0	41	Diplomatinė-Ukraina(41)
Ambasada Vengrijoje	Vengrija	Diplomatinė	1f5e3812	0	43	Diplomatinė-Vengrija(43)
Ambasada Indijos	Indija	Diplomatinė	25a06311	0	46	Diplomatinė-Indija(46)
konsulatas San Paule	Brazilija	Diplomatinė	2271e880	0	47	Diplomatinė-Brazilija(47)
Ambasada Pietų Afrikos	PAR	Diplomatinė	c2926c69	0	66	Diplomatinė-PAR(66)
