
Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Tėvynės sąjunga - Lietuvos krikščionys demokratai

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	GABRIELIUS LANDSBERGIS	1	141
2	INGRIDA ŠIMONYTĖ	4	125
3	ANDRIUS KUBILIUS	3	95
4	IRENA DEGUTIENĖ	2	57
5	AGNĖ BILOTAITĖ	5	53
6	RASA JUKNEVIČIENĖ	7	50
7	ŽYGIMANTAS PAVILIONIS	18	60
8	RADVILĖ MORKŪNAITĖ-MIKULĖNIENĖ	9	30
9	PAULIUS SAUDARGAS	6	14
10	MANTAS ADOMĖNAS	14	21
11	MYKOLAS MAJAUSKAS	36	22
12	TADAS LANGAITIS	29	14
13	DAINIUS KREIVYS	12	24
14	VYTAUTAS JUOZAPAITIS	8	10
15	VYTAUTAS KERNAGIS	22	11
16	KĘSTUTIS MASIULIS	19	14
17	JURGIS RAZMA	10	16
18	LAURYNAS KASČIŪNAS	11	16
19	ARVYDAS ANUŠAUSKAS	13	18
20	EMANUELIS ZINGERIS	16	9
21	AUDRONIUS AŽUBALIS	17	8
22	MONIKA NAVICKIENĖ	25	7
23	RIMANTAS JONAS DAGYS	15	3
24	ROKAS ŽILINSKAS	34	8
25	KAZYS STARKEVIČIUS	20	2
26	STASYS ŠEDBARAS	23	4
27	SERGEJUS JOVAIŠA	24	5
28	GINTARĖ SKAISTĖ	35	9
29	ANDRIUS NAVICKAS	31	13
30	ANDRIUS KUPČINSKAS	30	2
31	VILIJA ALEKNAITĖ ABRAMIKIENĖ	21	5
32	AISTĖ GEDVILIENĖ	28	4
33	LIUTAURAS KAZLAVICKAS	26	
34	JUOZAS PUNDZIUS	42	
35	VALENTINAS STUNDYS	27	3
36	ANDRIUS VYŠNIAUSKAS	45	5
37	ANTANAS MATULAS	37	
